职位名称,公司名称,月薪范围,工作地点,经验要求,学历要求,招聘人数,发布日期
"网约车司机","武汉东辰顺行汽车销售服务有限公司","7000-11000元/月","武汉 - 东西湖 - 吴家山","不限","不限","5","更新: 今天"
"网约车司机","武汉嗨途企业管理有限公司","8000-12000元/月","武汉 - 江汉","不限","不限","5","更新: 今天"
"网约车司机","武汉嗨途企业管理有限公司","7800-11800元/月","武汉 - 东西湖 - 常青花园","不限","不限","6","更新: 今天"
"网约车司机","武汉东辰顺行汽车销售服务有限公司","7000-11000元/月","武汉 - 洪山 - 光谷广场","不限","不限","5","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","10000-12000元/月","武汉 - 洪山 - 广埠屯","不限","不限","20","更新: 今天"
"网约车司机","武汉市鑫亿智行汽车科技有限公司","8000-12000元/月","武汉 - 江岸 - 三阳路","3-5年","高中","8","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","10000-12000元/月","武汉 - 洪山 - 光谷广场","不限","不限","20","更新: 今天"
"送餐员/外卖骑手","武汉壹刻啦同城科技有限公司","6000-9000元/月","武汉 - 武昌 - 武泰闸","不限","不限","10","更新: 今天"
"网约车司机","武汉市人人驾享汽车科技有限公司","10000-12000元/月","武汉 - 沌口开发区 - 金色港湾","不限","不限","10","更新: 今天"
"电话客服","中国人寿保险股份有限公司武汉市分公司","8000-9000元/月","武汉","3-5年","大专","","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","9000-12000元/月","武汉 - 洪山 - 关山","不限","不限","20","更新: 今天"
"商务司机","杭州优行科技有限公司（曹操出行）","10000-12000元/月","武汉 - 江岸 - 后湖","不限","不限","99","更新: 今天"
"网约车司机","武汉蜗牛快跑汽车服务有限公司","9000-12000元/月","武汉 - 汉阳 - 升官渡","不限","不限","11","更新: 今天"
"网约车司机","武汉市人人驾享汽车科技有限公司","10000-12000元/月","武汉 - 沌口开发区 - 体育中心","不限","不限","10","更新: 今天"
"商务司机","武汉东辰顺行汽车销售服务有限公司","9000-12000元/月","武汉 - 武昌 - 徐家棚","不限","不限","12","更新: 今天"
"网约车司机","武汉东辰顺行汽车销售服务有限公司","6000-7000元/月","武汉 - 江夏 - 纸坊","不限","不限","20","更新: 今天"
